C2H2_14r176,   C[0],   C[1],   H[2],   H[3],  
Speed[A/fs],   0.180214,   0.175831,   0.690692,   0.655185,  
 
C2H2_14r174,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.7808740139,    2.5752421618,    0.9989330731,    0.9999054055,  
Time[fs],  56.416000,  56.674000,  26.856000,  26.751000,  
Charge Sum,    6.3549546543, 
X Velocity[A/fs],  -0.199774,   0.197521,  -0.688735,   0.650950,  
Y Velocity[A/fs],  -0.000677,   0.008065,  -0.016668,  -0.055236, 
Z Velocity[A/fs],   0.000354,   0.005343,   0.009518,  -0.049277,  
Speed[A/fs],   0.199775,   0.197758,   0.689002,   0.655145,  
 
C2H2_14r82,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0299135447,    2.2832915783,    0.9986261630,    0.9999535770,  
Time[fs],  57.899000,  60.584000,  26.715000,  26.811000,  
Charge Sum,    6.3117848630, 
X Velocity[A/fs],  -0.186208,   0.173953,  -0.676322,   0.654548,  
Y Velocity[A/fs],   0.000199,  -0.004002,   0.025601,   0.019306, 
Z Velocity[A/fs],  -0.008634,   0.009466,   0.091351,  -0.063672,  
Speed[A/fs],   0.186408,   0.174257,   0.682944,   0.657921,  
 
C2H2_14r114,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.3726170063,    1.9535591602,    0.9992394372,    0.9999434721,  
Time[fs],  62.959000,  63.422000,  26.920000,  26.857000,  
Charge Sum,    6.3253590758, 
X Velocity[A/fs],  -0.161770,   0.159151,  -0.671297,   0.643152,  
Y Velocity[A/fs],  -0.004334,   0.005398,   0.082516,  -0.057402, 
Z Velocity[A/fs],  -0.009273,   0.007408,   0.063887,  -0.078568,  
Speed[A/fs],   0.162093,   0.159415,   0.679360,   0.650471,  
 
C2H2_14r58,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.1173607111,    2.2033044100,    0.9985322246,    0.9999374398,  
Time[fs],  60.163000,  60.163000,  26.947000,  26.784000,  
Charge Sum,    6.3191347854, 
X Velocity[A/fs],  -0.176675,   0.175769,  -0.681575,   0.644363,  
Y Velocity[A/fs],   0.009114,  -0.000993,  -0.046174,  -0.023512, 
Z Velocity[A/fs],   0.000492,   0.006046,  -0.018646,  -0.052747,  
Speed[A/fs],   0.176911,   0.175876,   0.683391,   0.646946,  
 
C2H2_14r138,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.8441507816,    1.5348222256,    0.9992582598,    0.9999293715,  
Time[fs],  66.846000,  68.877000,  26.769000,  26.802000,  
Charge Sum,    6.3781606385, 
X Velocity[A/fs],  -0.141678,   0.135166,  -0.676683,   0.648522,  
Y Velocity[A/fs],  -0.000383,   0.000058,   0.028855,  -0.020906, 
Z Velocity[A/fs],  -0.008731,   0.016118,   0.097700,  -0.100911,  
Speed[A/fs],   0.141948,   0.136124,   0.684308,   0.656659,  
 
C2H2_14r39,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.2258858681,    2.1108460426,    0.9989569399,    0.9999016989,  
Time[fs],  60.786000,  61.627000,  26.978000,  26.930000,  
Charge Sum,    6.3355905495, 
X Velocity[A/fs],  -0.172243,   0.168092,  -0.678808,   0.647719,  
Y Velocity[A/fs],  -0.000223,   0.004254,  -0.031216,  -0.034463, 
Z Velocity[A/fs],   0.009380,  -0.007939,  -0.088750,   0.080408,  
Speed[A/fs],   0.172498,   0.168333,   0.685296,   0.653600,  
 
C2H2_14r5,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.7870697975,    2.5397887230,    0.9992757309,    0.9999492769,  
Time[fs],  57.616000,  56.543000,  26.868000,  26.753000,  
Charge Sum,    6.3260835283, 
X Velocity[A/fs],  -0.194158,   0.197457,  -0.676319,   0.656594,  
Y Velocity[A/fs],  -0.000858,  -0.000384,   0.045170,  -0.057554, 
Z Velocity[A/fs],  -0.000790,   0.001748,   0.049833,  -0.059333,  
Speed[A/fs],   0.194162,   0.197465,   0.679656,   0.661777,  
 
C2H2_14r170,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0769691467,    2.2448312044,    0.9993175422,    0.9999380495,  
Time[fs],  59.862000,  60.077000,  26.896000,  26.897000,  
Charge Sum,    6.3210559428, 
X Velocity[A/fs],  -0.178620,   0.176306,  -0.667765,   0.646306,  
Y Velocity[A/fs],  -0.012888,   0.009968,   0.085409,  -0.089788, 
Z Velocity[A/fs],  -0.010889,   0.002472,   0.055672,   0.024003,  
Speed[A/fs],   0.179415,   0.176605,   0.675503,   0.652955,  
 
C2H2_14r171,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.1526670456,    2.1581947803,    0.9990426633,    0.9999135349,  
Time[fs],  60.384000,  61.633000,  26.890000,  26.924000,  
Charge Sum,    6.3098180241, 
X Velocity[A/fs],  -0.175063,   0.169192,  -0.676934,   0.653007,  
Y Velocity[A/fs],  -0.005378,  -0.001646,   0.036038,   0.026570, 
Z Velocity[A/fs],   0.005713,  -0.000824,  -0.075807,   0.061171,  
Speed[A/fs],   0.175239,   0.169202,   0.682118,   0.656404,  
 
C2H2_14r158,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.7859830856,    2.5215241909,    0.9995129727,    0.9999493232,  
Time[fs],  55.281000,  59.313000,  26.736000,  26.919000,  
Charge Sum,    6.3069695725, 
X Velocity[A/fs],  -0.204444,   0.185067,  -0.680090,   0.647638,  
Y Velocity[A/fs],   0.007877,   0.001416,  -0.059620,  -0.017418, 
Z Velocity[A/fs],   0.006819,   0.000065,  -0.058152,  -0.022911,  
Speed[A/fs],   0.204709,   0.185072,   0.685170,   0.648277,  
 
C2H2_14r69,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0899202824,    2.2523965836,    0.9990546794,    0.9999094845,  
Time[fs],  58.886000,  60.603000,  26.888000,  26.881000,  
Charge Sum,    6.3412810298, 
X Velocity[A/fs],  -0.182166,   0.174363,  -0.684413,   0.654612,  
Y Velocity[A/fs],   0.003464,   0.003417,  -0.042439,  -0.026646, 
Z Velocity[A/fs],  -0.004186,   0.007098,   0.062597,  -0.052621,  
Speed[A/fs],   0.182247,   0.174541,   0.688579,   0.657264,  
 
C2H2_14r131,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.6594810486,    2.7103420496,    0.9991045479,    0.9999516333,  
