r_seed=1,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charge Sum,   25.9640000000, 
X Velocity[A/fs],  -0.384747,  -0.239033,   0.238764,   0.381371,  -0.129540,  -0.352545,  -0.853939,  -0.083176,  -0.442134,   0.461246,   0.086190,   0.105318,   0.370952,   0.839043,  
Y Velocity[A/fs],  -0.311207,   0.318805,   0.326941,  -0.315342,  -0.809604,  -0.162882,  -0.053738,   0.169031,   0.783143,   0.781974,   0.239256,  -0.798344,  -0.172588,  -0.027156, 
Z Velocity[A/fs],   0.105271,  -0.301044,   0.286245,  -0.106823,  -0.245832,   0.775830,  -0.272742,  -0.863151,   0.145627,  -0.125433,   0.868041,   0.241354,  -0.774501,   0.295690,  
Speed[A/fs],   0.505927,   0.499401,   0.495817,   0.506257,   0.855962,   0.867600,   0.898047,   0.883470,   0.911045,   0.916496,   0.904526,   0.840652,   0.875924,   0.890035,  
 
r_seed=15,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    3.9930000000,    3.9910000000,    3.9850000000,    3.9950000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,  
Time[fs],  22.033000,  25.605000,  25.360000,  22.683000,   9.907000,  10.392000,   9.668000,   9.608000,  10.099000,   9.867000,   9.562000,  10.023000,  10.707000,   9.637000,  
Charge Sum,   25.9640000000, 
X Velocity[A/fs],  -0.380150,  -0.244779,   0.247723,   0.369133,  -0.129929,  -0.374582,  -0.830398,  -0.113246,  -0.460181,   0.430761,   0.085109,   0.120755,   0.384797,   0.829797,  
Y Velocity[A/fs],  -0.310028,   0.322456,   0.325133,  -0.322896,  -0.808313,  -0.162426,  -0.070572,   0.133715,   0.784506,   0.802629,   0.223517,  -0.804133,  -0.120577,  -0.033007, 
Z Velocity[A/fs],   0.125708,  -0.291178,   0.285460,  -0.121088,  -0.239099,   0.789475,  -0.323052,  -0.862241,   0.111827,  -0.109362,   0.859116,   0.221673,  -0.776064,   0.312879,  
Speed[A/fs],   0.506393,   0.498678,   0.498564,   0.505156,   0.852889,   0.888800,   0.893814,   0.879866,   0.916363,   0.917458,   0.891787,   0.842823,   0.874575,   0.887438,  
 
r_seed=16,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    3.9930000000,    3.9910000000,    3.9850000000,    3.9950000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,  
Time[fs],  22.056000,  25.582000,  25.259000,  22.511000,   9.869000,  10.580000,   9.329000,   9.640000,  10.292000,  10.009000,   9.594000,   9.874000,  10.736000,   9.335000,  
Charge Sum,   25.9640000000, 
