r_seed=3,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.1163752074,    1.1146224438,    1.3832127996,    1.5146735286,    1.5042430298,    0.9998400160,    0.9996693414,    0.9998413598,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    9.6324777264, 
X Velocity[A/fs],  -0.169313,  -0.192829,   0.030987,   0.245873,   0.078030,   0.062894,   0.879244,   0.187615,  
Y Velocity[A/fs],   0.095424,  -0.084173,  -0.217958,  -0.022399,   0.222815,  -0.874125,  -0.100727,   0.854914, 
Z Velocity[A/fs],  -0.003148,  -0.013071,  -0.006954,   0.000554,  -0.001290,  -0.012613,   0.005291,   0.039535,  
Speed[A/fs],   0.194377,   0.210806,   0.220259,   0.246892,   0.236087,   0.876476,   0.885011,   0.876150,  
 
r_seed=15,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.1163752074,    1.1146224438,    1.3832127996,    1.5146735286,    1.5042430298,    0.9998400160,    0.9996693414,    0.9998413598,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    9.6324777264, 
X Velocity[A/fs],  -0.162381,  -0.199968,   0.024857,   0.240358,   0.085383,   0.026755,   0.875031,   0.154054,  
Y Velocity[A/fs],   0.095894,  -0.082056,  -0.220568,  -0.029566,   0.223017,  -0.875866,  -0.098670,   0.861884, 
Z Velocity[A/fs],   0.013314,  -0.007972,   0.005540,  -0.018759,  -0.002938,   0.059130,  -0.058372,   0.032486,  
Speed[A/fs],   0.189051,   0.216296,   0.222034,   0.242895,   0.238821,   0.878268,   0.882509,   0.876146,  
 
r_seed=16,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
