C4H10_14r45, C[0], C[1], C[2], C[3], H[4], H[5], H[6], H[7], H[8], H[9], H[10], H[11], H[12], H[13], 
Density Sum, 8.267099782544573,,,,,,,,,,,,,,
X Velocity[A/fs],-0.143274,-0.096243,0.102961,0.147104,-0.193851,-0.523925,-0.826667,-0.054973,-0.570657,0.473364,0.095904,0.258516,0.300524,0.827449,
Y Velocity[A/fs],-0.118149,0.137262,0.127421,-0.123114,-0.781449,-0.154237,-0.096236,0.227514,0.685784,0.739412,0.092648,-0.738938,-0.294945,-0.030191,
Z Velocity[A/fs],0.012123,-0.110566,0.128800,-0.067881,-0.293977,0.703458,-0.176005,-0.849409,0.117555,-0.062302,0.850064,0.392127,-0.768860,0.061734,
Speed[A/fs],0.186101,0.200820,0.208390,0.203481,0.857125,0.890584,0.850657,0.881068,0.899871,0.880162,0.860459,0.875570,0.876614,0.830298,
,,,,,,,,,,,,,,,
C4H10_14r46, C[0], C[1], C[2], C[3], H[4], H[5], H[6], H[7], H[8], H[9], H[10], H[11], H[12], H[13], 
Densities, 2.240106154074424, 2.138775141004881, 1.934723927021208, 2.298214671332753, 0.000302792190584959, 0.0001030841262127288, 0.01443195206851422, 0.001387118586477089, 0.0001564774544054549, 0.0004250029072207571, 0.002378332540896582, 0.001411076778829586, 0.0001773403588269491, 0.0001348196189628791, 
Time[fs], 34.000000, 34.000000, 34.000000, 34.000000, 28.000000, 31.000000, 27.000000, 27.500000, 28.500000, 29.000000, 27.500000, 28.500000, 30.000000, 26.500000, 
Density Sum, 8.632727890064196,,,,,,,,,,,,,,
X Velocity[A/fs],-0.131290,-0.084029,0.085240,0.142764,-0.192362,-0.640488,-0.790023,-0.069880,-0.492260,0.508533,0.105722,0.169624,0.492415,0.819525,
Y Velocity[A/fs],-0.119171,0.123025,0.123945,-0.120921,-0.805768,-0.025537,-0.096199,0.101390,0.738034,0.716130,0.201930,-0.782828,-0.248634,-0.032021,
Z Velocity[A/fs],0.046785,-0.127439,0.125391,-0.009747,-0.226797,0.625138,-0.249808,-0.851041,0.063456,-0.118149,0.835969,0.368861,-0.704164,0.195296,
Speed[A/fs],0.183378,0.196053,0.195834,0.187346,0.858895,0.895363,0.834143,0.859903,0.889405,0.886232,0.866486,0.881845,0.894505,0.843081,
,,,,,,,,,,,,,,,
C4H10_14r30, C[0], C[1], C[2], C[3], H[4], H[5], H[6], H[7], H[8], H[9], H[10], H[11], H[12], H[13], 
Densities, 2.419171783366965, 2.036139122996198, 2.166486598543349, 1.853807637591531, 0.001798422820371808, 0.001564328513464849, 0.04640070659451952, 0.0006320013813442635, 0.0001227484182996919, 0.001920466185901601, 0.002267822813863111, 0.0009431124946843146, 0.0002880960757721356, 8.742586344142899e-05, 
Time[fs], 34.000000, 34.000000, 34.000000, 34.000000, 29.500000, 30.000000, 26.500000, 28.000000, 28.500000, 30.500000, 28.000000, 29.000000, 30.000000, 26.500000, 
Density Sum, 8.531630273659708,,,,,,,,,,,,,,
X Velocity[A/fs],-0.137803,-0.110715,0.073980,0.151504,-0.237902,-0.389103,-0.841104,-0.021153,-0.493896,0.632877,0.049802,0.150911,0.416645,0.825641,
Y Velocity[A/fs],-0.120652,0.119980,0.130057,-0.117771,-0.691001,-0.334327,-0.008737,0.299582,0.733659,0.638995,0.238129,-0.744730,-0.321189,-0.093828,
Z Velocity[A/fs],0.013296,-0.114844,0.112856,-0.009868,-0.496337,0.722876,-0.121010,-0.823440,0.181643,-0.137176,0.841451,0.429776,-0.722930,0.116085,
Speed[A/fs],0.183639,0.199605,0.187415,0.192148,0.883420,0.886412,0.849809,0.876499,0.902875,0.909761,0.875914,0.872986,0.894082,0.839024,
,,,,,,,,,,,,,,,
C4H10_14r6, C[0], C[1], C[2], C[3], H[4], H[5], H[6], H[7], H[8], H[9], H[10], H[11], H[12], H[13], 
Densities, 2.027136969905551, 1.932401746966478, 2.063686097280821, 2.23952921419237, 0.0008188225459014374, 0.004954893812418609, 0.0291815584608541, 0.001091080353630228, 0.005590481867571106, 0.0004465935229310659, 0.004087177145068865, 0.005149343829564695, 0.006956432413978258, 0.0001857240208314799, 
Time[fs], 34.500000, 34.500000, 34.500000, 34.500000, 28.000000, 30.000000, 27.000000, 28.000000, 29.000000, 29.500000, 28.000000, 28.500000, 28.500000, 27.000000, 
Density Sum, 8.32121613631797,,,,,,,,,,,,,,
X Velocity[A/fs],-0.150988,-0.099443,0.102364,0.140390,-0.216058,-0.521439,-0.808767,-0.054917,-0.494353,0.611601,0.110857,0.195367,0.384010,0.846339,
Y Velocity[A/fs],-0.133600,0.151940,0.119130,-0.097887,-0.785024,-0.171209,-0.042742,0.271290,0.713634,0.672744,0.108596,-0.781153,-0.157280,-0.122105,
Z Velocity[A/fs],0.014149,-0.107960,0.129168,-0.074837,-0.265626,0.702591,-0.262440,-0.834590,0.240939,-0.076042,0.847986,0.270952,-0.766281,0.147255,
Speed[A/fs],0.202105,0.211258,0.203358,0.186793,0.856446,0.891541,0.851355,0.879292,0.900950,0.912372,0.862069,0.849578,0.871428,0.867689,
,,,,,,,,,,,,,,,
C4H10_14r14, C[0], C[1], C[2], C[3], H[4], H[5], H[6], H[7], H[8], H[9], H[10], H[11], H[12], H[13], 
Densities, 2.147337694221481, 2.166950884307798, 2.386454076304788, 1.951889091854592, 0.001747328403092521, 0.002320700169032371, 0.01055602498619303, 0.0003704728652595786, 0.001847560575751759, 0.001636689246506651, 0.0009887283148211285, 0.001125299524169439, 0.0001990950262176571, 6.48836500067346e-05, 
Time[fs], 34.000000, 34.000000, 34.000000, 34.000000, 29.000000, 29.500000, 27.000000, 28.000000, 29.500000, 28.500000, 28.000000, 28.000000, 30.000000, 27.000000, 
Density Sum, 8.673488529449713,,,,,,,,,,,,,,
X Velocity[A/fs],-0.134361,-0.090801,0.086643,0.143448,-0.280778,-0.409785,-0.809172,-0.023692,-0.552316,0.490502,0.027591,0.094931,0.560474,0.820214,
Y Velocity[A/fs],-0.118772,0.125336,0.116963,-0.125054,-0.703242,-0.259225,0.013763,0.301247,0.685891,0.718671,0.240942,-0.820923,-0.176207,-0.078483,
Z Velocity[A/fs],0.013004,-0.113018,0.108714,-0.010396,-0.446520,0.738113,-0.221238,-0.821685,0.205518,-0.100070,0.841652,0.242457,-0.671610,0.251438,
Speed[A/fs],0.179802,0.191643,0.181676,0.190588,0.879071,0.883138,0.838984,0.875487,0.904288,0.875840,0.875895,0.861227,0.892323,0.861471,
,,,,,,,,,,,,,,,
C4H10_14r40, C[0], C[1], C[2], C[3], H[4], H[5], H[6], H[7], H[8], H[9], H[10], H[11], H[12], H[13], 
Densities, 2.129990990049911, 2.328989440506021, 2.157145835736114, 2.066309485691079, 0.0006611868599994614, 0.002379211684309186, 0.02614951911273314, 0.0005702491614888649, 0.0001372507256802505, 0.0002136372786478145, 0.001152185037553133, 0.004611640237744929, 0.003695417522773498, 0.0001576690598679205, 
Time[fs], 34.000000, 34.000000, 34.000000, 34.000000, 28.500000, 30.000000, 26.500000, 28.000000, 28.500000, 29.500000, 28.000000, 28.000000, 30.500000, 26.500000, 
Density Sum, 8.722163718663923,,,,,,,,,,,,,,
X Velocity[A/fs],-0.151279,-0.076706,0.088325,0.132889,-0.242870,-0.381779,-0.846119,-0.034755,-0.502234,0.526118,-0.004159,0.173002,0.550584,0.819608,
Y Velocity[A/fs],-0.117131,0.118769,0.140401,-0.124850,-0.740748,-0.326358,0.006276,0.160222,0.739089,0.707254,0.254528,-0.789298,-0.202171,-0.033019,
Z Velocity[A/fs],0.012128,-0.116257,0.117913,-0.010100,-0.392409,0.721266,-0.095848,-0.847232,0.052927,-0.201523,0.834341,0.277292,-0.671030,0.189484,
Speed[A/fs],0.191708,0.183045,0.203512,0.182617,0.872742,0.878914,0.851554,0.862949,0.895150,0.904223,0.872311,0.854290,0.891233,0.841874,
,,,,,,,,,,,,,,,
C4H10_14r39, C[0], C[1], C[2], C[3], H[4], H[5], H[6], H[7], H[8], H[9], H[10], H[11], H[12], H[13], 
Densities, 2.266266879317626, 1.992086363203684, 2.402182770347704, 1.874611452616754, 0.0007411150050585443, 0.002834409204341352, 0.03657606463582349, 0.0005412896531135032, 0.002177146245762152, 0.0001955061544915079, 0.0006632850947554803, 0.001421358210078544, 0.0001176135816006472, 0.004618538584636588, 
Time[fs], 34.000000, 34.000000, 34.000000, 34.000000, 28.500000, 30.000000, 26.500000, 28.000000, 29.000000, 29.500000, 28.000000, 28.500000, 30.000000, 27.500000, 
Density Sum, 8.585033791855436,,,,,,,,,,,,,,
X Velocity[A/fs],-0.139967,-0.078001,0.075907,0.153093,-0.144004,-0.492412,-0.814245,-0.038135,-0.526846,0.592562,-0.030747,0.161677,0.573408,0.816917,
Y Velocity[A/fs],-0.118944,0.118347,0.127789,-0.115446,-0.765591,-0.274607,-0.059296,0.216186,0.702956,0.676037,0.236416,-0.762460,-0.124912,-0.084955,
Z Velocity[A/fs],0.011709,-0.115425,0.127204,-0.033486,-0.383547,0.683952,-0.195733,-0.845428,0.149234,-0.130703,0.838590,0.346147,-0.689336,0.331851,
Speed[A/fs],0.184053,0.182793,0.195634,0.194645,0.868317,0.886380,0.839537,0.873464,0.891058,0.908427,0.871820,0.852821,0.905309,0.885831,
,,,,,,,,,,,,,,,
C4H10_14r28, C[0], C[1], C[2], C[3], H[4], H[5], H[6], H[7], H[8], H[9], H[10], H[11], H[12], H[13], 
Densities, 1.889324320682785, 2.28471679143154, 2.398860971411322, 1.889590540856214, 0.0009330224325927168, 0.0002452212127549843, 0.01542372633153696, 0.0007530780381461722, 0.0001537475371849995, 0.0002312177065864937, 0.001519714638409236, 0.0004706740177361908, 0.0002601556009491928, 4.329652574617096e-05, 
Time[fs], 34.000000, 34.000000, 34.000000, 34.000000, 28.000000, 30.500000, 27.000000, 28.000000, 28.500000, 29.500000, 28.000000, 30.000000, 30.000000, 27.000000, 
Density Sum, 8.482526478423503,,,,,,,,,,,,,,
X Velocity[A/fs],-0.144740,-0.092062,0.083947,0.142153,-0.160180,-0.556308,-0.799432,0.004729,-0.509389,0.571861,-0.000923,0.195005,0.516047,0.837735,
Y Velocity[A/fs],-0.128937,0.132348,0.121463,-0.123957,-0.774996,-0.214934,-0.077227,0.195753,0.734304,0.682933,0.235911,-0.699207,-0.241666,-0.086320,
Z Velocity[A/fs],0.017893,-0.104926,0.123257,-0.031514,-0.326313,0.674870,-0.229175,-0.839201,0.054927,-0.136835,0.837149,0.516872,-0.692634,0.230276,
Speed[A/fs],0.194666,0.192357,0.192335,0.191223,0.856012,0.900625,0.835211,0.861743,0.895376,0.901191,0.869755,0.891108,0.896911,0.873086,
,,,,,,,,,,,,,,,
C4H10_14r26, C[0], C[1], C[2], C[3], H[4], H[5], H[6], H[7], H[8], H[9], H[10], H[11], H[12], H[13], 
Densities, 2.153067905036329, 2.262778119080012, 2.381432301898565, 2.126160693234696, 0.0008190238472321249, 0.002739798288158, 0.04872000707561072, 0.0008858746269544499, 0.0002348787087183381, 0.00106915963281277, 0.002331692405003856, 0.005379849171105469, 0.0004468474029826399, 0.0003004762987750949, 
Time[fs], 34.500000, 34.500000, 34.500000, 34.500000, 28.500000, 30.000000, 26.500000, 28.000000, 28.500000, 29.000000, 28.000000, 28.500000, 30.000000, 26.500000, 
Density Sum, 8.986366626706959,,,,,,,,,,,,,,
X Velocity[A/fs],-0.141988,-0.073643,0.086296,0.139983,-0.192677,-0.436294,-0.817592,-0.051422,-0.495129,0.518569,0.014420,0.207113,0.450463,0.818958,
Y Velocity[A/fs],-0.120207,0.122289,0.133998,-0.122156,-0.746199,-0.267149,-0.025785,0.177246,0.715667,0.698058,0.235828,-0.735160,-0.299697,0.015326,
Z Velocity[A/fs],0.015959,-0.103988,0.110974,-0.014753,-0.381095,0.709358,-0.183226,-0.836740,0.120692,-0.109031,0.813213,0.389876,-0.700245,0.128777,
Speed[A/fs],0.186721,0.176611,0.194211,0.186373,0.859751,0.874591,0.838268,0.856852,0.878578,0.876405,0.846840,0.857531,0.884917,0.829162,
,,,,,,,,,,,,,,,
C4H10_14r1, C[0], C[1], C[2], C[3], H[4], H[5], H[6], H[7], H[8], H[9], H[10], H[11], H[12], H[13], 
Densities, 1.989390141542285, 2.199622255490282, 2.611887232077296, 1.941643197431403, 0.0004732503148753514, 0.001965946811933885, 0.009232050982310327, 0.0002974400091706934, 5.020103221009127e-05, 0.000381580892380753, 0.001051822716628186, 0.001498977021536496, 0.001242105442630637, 9.264505827849866e-05, 
Time[fs], 34.000000, 34.000000, 34.000000, 34.000000, 28.000000, 30.000000, 27.000000, 28.000000, 28.500000, 29.000000, 28.000000, 28.500000, 28.500000, 26.500000, 
Density Sum, 8.758828846823222,,,,,,,,,,,,,,
X Velocity[A/fs],-0.135404,-0.086519,0.093027,0.138839,-0.197523,-0.517414,-0.800494,-0.093829,-0.512684,0.529882,0.080558,0.229054,0.381330,0.832424,
Y Velocity[A/fs],-0.121525,0.128332,0.123418,-0.113760,-0.790400,-0.132856,-0.070010,0.159687,0.717811,0.710200,0.165291,-0.766269,-0.198068,0.002699,
Z Velocity[A/fs],0.004641,-0.099659,0.119723,-0.052561,-0.259554,0.692014,-0.225460,-0.837344,0.090847,-0.070615,0.841531,0.321968,-0.753824,0.105158,
Speed[A/fs],0.182001,0.184083,0.195498,0.187030,0.855053,0.874214,0.834580,0.857583,0.886764,0.888901,0.861386,0.862147,0.867694,0.839044,
,,,,,,,,,,,,,,,
C4H10_14r36, C[0], C[1], C[2], C[3], H[4], H[5], H[6], H[7], H[8], H[9], H[10], H[11], H[12], H[13], 
Densities, 1.950670745954348, 2.419205707138649, 2.269195892519649, 1.949521474502403, 0.0006838748848034949, 0.001406899727853062, 0.03961033354753228, 0.0004467788813459819, 0.001046876119630372, 0.001661090793364451, 0.00149238710556025, 0.001505198343614873, 0.0001477851369342418, 2.781293389833516e-05, 
Time[fs], 35.000000, 35.000000, 35.000000, 35.000000, 28.500000, 30.000000, 26.500000, 28.000000, 30.000000, 28.500000, 28.000000, 28.500000, 30.000000, 27.000000, 
Density Sum, 8.636622857589586,,,,,,,,,,,,,,
X Velocity[A/fs],-0.132303,-0.090328,0.086959,0.153288,-0.185374,-0.441466,-0.836661,-0.093945,-0.566180,0.485747,0.011102,0.153895,0.534492,0.833161,
Y Velocity[A/fs],-0.127045,0.135582,0.138449,-0.121465,-0.739586,-0.271539,-0.053665,0.221722,0.674772,0.718964,0.233071,-0.763716,-0.143563,-0.065037,
Z Velocity[A/fs],0.015701,-0.116514,0.104239,-0.011004,-0.426791,0.714771,-0.153951,-0.839425,0.199835,-0.139262,0.818850,0.352987,-0.686922,0.255390,
Speed[A/fs],0.184095,0.200292,0.193896,0.195887,0.873786,0.882906,0.852398,0.873281,0.903223,0.878780,0.851447,0.855305,0.882130,0.873849,
,,,,,,,,,,,,,,,
C4H10_14r7, C[0], C[1], C[2], C[3], H[4], H[5], H[6], H[7], H[8], H[9], H[10], H[11], H[12], H[13], 
Densities, 1.836518565399672, 2.224717893279294, 2.703531701926681, 1.87045918260018, 0.0008260139773972503, 0.003332870197463434, 0.05104884060899341, 0.001581858736561102, 0.003960074917452218, 0.000769206004080582, 0.002072137398066693, 0.001663812022447427, 0.0003097451902412367, 0.0002692428796212192, 
Time[fs], 34.500000, 34.500000, 34.500000, 34.500000, 28.500000, 29.000000, 26.500000, 27.500000, 29.000000, 29.000000, 28.000000, 29.000000, 29.500000, 26.500000, 
Density Sum, 8.701061145138153,,,,,,,,,,,,,,
X Velocity[A/fs],-0.128362,-0.098109,0.089498,0.145401,-0.227814,-0.481272,-0.818730,-0.064540,-0.532959,0.527969,0.092377,0.224741,0.407982,0.808859,
