r_seed=1,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    3.9266099532,    3.9140835550,    3.8563755248,    3.9516147829,    0.9992713979,    0.9994498161,    0.9984203040,    0.9996101127,    0.9982883018,    0.9996542989,    0.9991116732,    0.9985516796,    0.9996795638,    0.8989737733,  
Time[fs],  22.543000,  26.182000,  25.276000,  22.426000,  10.158000,  10.595000,   9.347000,   9.483000,  10.374000,  10.273000,   9.621000,  10.184000,  10.599000,  10.692000,  
Charge Sum,   25.5396947371, 
X Velocity[A/fs],  -0.371247,  -0.225876,   0.240014,   0.373431,  -0.113435,  -0.383970,  -0.853919,  -0.082928,  -0.467025,   0.479914,   0.131543,   0.122563,   0.426380,   0.741675,  
Y Velocity[A/fs],  -0.309854,   0.315124,   0.326521,  -0.321149,  -0.789153,  -0.117911,  -0.058861,   0.127991,   0.768725,   0.770415,   0.172627,  -0.792920,  -0.116426,  -0.043281, 
Z Velocity[A/fs],   0.101354,  -0.281514,   0.275292,  -0.108393,  -0.300017,   0.776021,  -0.260159,  -0.865422,   0.100559,  -0.152775,   0.855587,   0.256986,  -0.772070,   0.261006,  
Speed[A/fs],   0.494072,   0.479138,   0.489906,   0.504318,   0.851845,   0.873810,   0.894609,   0.878758,   0.905076,   0.920433,   0.882685,   0.842487,   0.889633,   0.787451,  
 
r_seed=18,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    3.9266099532,    3.9140835550,    3.8563755248,    3.9516147829,    0.9992713979,    0.9994498161,    0.9984203040,    0.9996101127,    0.9982883018,    0.9996542989,    0.9991116732,    0.9985516796,    0.9996795638,    0.8989737733,  
Time[fs],  22.730000,  26.517000,  25.539000,  21.785000,  10.184000,  10.566000,   9.199000,   9.482000,  10.346000,  10.072000,   9.663000,  10.100000,  10.940000,  10.347000,  
Charge Sum,   25.5396947371, 
X Velocity[A/fs],  -0.368153,  -0.232250,   0.221004,   0.385022,  -0.117878,  -0.380058,  -0.862410,  -0.106465,  -0.481714,   0.461821,   0.115851,   0.129256,   0.422113,   0.764579,  
Y Velocity[A/fs],  -0.311017,   0.310531,   0.324176,  -0.311583,  -0.793756,  -0.147390,  -0.037207,   0.093361,   0.768216,   0.782963,   0.165027,  -0.798580,  -0.104544,  -0.063106, 
Z Velocity[A/fs],   0.113929,  -0.293334,   0.281031,  -0.086896,  -0.246976,   0.781918,  -0.242129,  -0.867577,   0.083656,  -0.111406,   0.856207,   0.245792,  -0.754523,   0.237108,  
Speed[A/fs],   0.495225,   0.486225,   0.482609,   0.502868,   0.839608,   0.881796,   0.896528,   0.879057,   0.910606,   0.915817,   0.879628,   0.845488,   0.870870,   0.802984,  
 
r_seed=19,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
