C4H10_14r45,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Y Velocity[A/fs],  -0.155515,   0.168544,   0.143544,  -0.136519,  -0.816963,  -0.135493,  -0.071394,   0.167282,   0.735852,   0.724384,   0.170508,  -0.782663,  -0.203720,   0.002246, 
Z Velocity[A/fs],   0.026929,  -0.124300,   0.142579,  -0.064370,  -0.268000,   0.707627,  -0.229754,  -0.861574,   0.093090,  -0.070430,   0.857220,   0.329955,  -0.772058,   0.108671,  
Speed[A/fs],   0.234386,   0.233710,   0.228223,   0.230784,   0.887518,   0.908000,   0.883746,   0.884777,   0.909493,   0.900337,   0.876821,   0.880804,   0.888788,   0.851197,  
 
C4H10_14r36,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    2.0493292809,    1.5807943344,    1.7308042049,    2.0504785776,    0.9993161251,    0.9985931002,    0.9603896663,    0.9995532211,    0.9989531239,    0.9983389092,    0.9985076129,    0.9984948017,    0.9998522149,    0.9999721871,  
Time[fs],  69.513000,  70.089000,  67.646000,  65.372000,  28.903000,  30.017000,  26.762000,  28.152000,  29.960000,  28.869000,  28.399000,  28.710000,  30.355000,  27.229000,  
Charge Sum,   17.3633773602, 
X Velocity[A/fs],  -0.168569,  -0.107140,   0.101408,   0.183847,  -0.196373,  -0.475021,  -0.866220,  -0.112558,  -0.598330,   0.493187,  -0.001727,   0.155651,   0.523090,   0.818802,  
Y Velocity[A/fs],  -0.153060,   0.159048,   0.169367,  -0.148276,  -0.760192,  -0.276571,  -0.055262,   0.228289,   0.684468,   0.737560,   0.242442,  -0.783936,  -0.147458,  -0.066806, 
Z Velocity[A/fs],   0.028812,  -0.139306,   0.127875,  -0.028135,  -0.438782,   0.726038,  -0.157771,  -0.858463,   0.201573,  -0.142309,   0.845278,   0.361962,  -0.703078,   0.261485,  
Speed[A/fs],   0.229506,   0.237026,   0.235204,   0.237860,   0.899435,   0.910641,   0.882204,   0.895401,   0.931197,   0.898599,   0.879361,   0.877382,   0.888642,   0.862133,  
 
