isoxazole_14r10,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
isoxazole_14r27,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.0600180626,    1.2486097813,    1.4762437344,    1.4679479599,    1.2882866859,    0.9998806155,    0.9996541017,    0.9998847390,  
Time[fs],  90.071000,  86.546000,  77.052000,  72.525000,  78.736000,  31.714000,  31.459000,  31.141000,  
Charge Sum,    9.5405256803, 
X Velocity[A/fs],  -0.159349,  -0.171918,   0.072156,   0.217531,   0.049512,   0.192097,   0.736362,   0.025153,  
Y Velocity[A/fs],   0.090559,  -0.119645,  -0.181248,   0.012447,   0.170917,  -0.713873,   0.067714,   0.718138, 
Z Velocity[A/fs],   0.003243,  -0.005125,  -0.002606,  -0.003051,  -0.014167,   0.032061,   0.055426,   0.089457,  
Speed[A/fs],   0.183313,   0.209516,   0.195101,   0.217909,   0.178508,   0.739962,   0.741543,   0.724125,  
 
isoxazole_14r29,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.0942425728,    1.0104100704,    1.3415198326,    1.6438271999,    1.4843826294,    0.9998191346,    0.9998765534,    0.9998909100,  
Time[fs],  82.507000,  91.580000,  73.263000,  68.101000,  69.294000,  31.459000,  31.880000,  31.008000,  
Charge Sum,    9.5739689032, 
X Velocity[A/fs],  -0.177789,  -0.159501,   0.054933,   0.239175,   0.048273,   0.146403,   0.730293,   0.081224,  
Y Velocity[A/fs],   0.055096,  -0.108315,  -0.193637,   0.018334,   0.207769,  -0.721853,   0.100364,   0.728131, 
Z Velocity[A/fs],  -0.001435,  -0.004671,  -0.002979,  -0.003601,   0.013004,   0.047670,   0.023953,  -0.096005,  
Speed[A/fs],   0.186135,   0.192859,   0.201300,   0.239904,   0.213700,   0.738091,   0.737546,   0.738911,  
 
isoxazole_14r3,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.2277941704,    1.2599825859,    1.3982722759,    1.4194824696,    1.6307966709,    0.9998079164,    0.9996936450,    0.9999079594,  
Time[fs],  82.173000,  84.365000,  75.076000,  72.076000,  64.111000,  31.399000,  31.090000,  31.780000,  
Charge Sum,    9.9357376935, 
X Velocity[A/fs],  -0.177690,  -0.174530,   0.052990,   0.217538,   0.041038,   0.152002,   0.747424,   0.281878,  
Y Velocity[A/fs],   0.056167,  -0.116966,  -0.189784,  -0.003999,   0.233864,  -0.724357,   0.015499,   0.683936, 
Z Velocity[A/fs],  -0.001962,  -0.005362,  -0.005910,   0.000256,   0.013565,   0.050117,  -0.014653,  -0.112559,  
Speed[A/fs],   0.186366,   0.210168,   0.197131,   0.217574,   0.237825,   0.741828,   0.747728,   0.748260,  
 
isoxazole_14r30,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.1672606468,    1.0355329514,    1.5754003525,    1.4734351635,    1.4770085812,    0.9997633440,    0.9995195075,    0.9998134283,  
Time[fs],  81.093000,  87.296000,  74.713000,  71.134000,  69.485000,  31.420000,  31.231000,  31.236000,  
Charge Sum,    9.7277339752, 
X Velocity[A/fs],  -0.182387,  -0.169781,   0.090294,   0.220900,   0.039378,   0.159108,   0.745498,   0.106794,  
Y Velocity[A/fs],   0.064685,  -0.112726,  -0.188903,   0.019993,   0.207167,  -0.726302,   0.011077,   0.733221, 
Z Velocity[A/fs],  -0.000513,  -0.007266,  -0.001493,   0.004973,   0.007513,  -0.003276,  -0.041532,  -0.074935,  
Speed[A/fs],   0.193519,   0.203925,   0.209379,   0.221859,   0.211010,   0.743532,   0.746736,   0.744737,  
 
isoxazole_14r4,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.1533956528,    1.1112480164,    1.3188934326,    1.4571352005,    1.4193949699,    0.9998744556,    0.9998196019,    0.9999071343,  
Time[fs],  84.953000,  92.372000,  75.371000,  73.237000,  74.012000,  31.369000,  31.447000,  31.228000,  
Charge Sum,    9.4596684641, 
X Velocity[A/fs],  -0.172307,  -0.156592,   0.050259,   0.213755,   0.045916,   0.043716,   0.736634,   0.097468,  
Y Velocity[A/fs],   0.091080,  -0.103131,  -0.184502,   0.011938,   0.191386,  -0.732188,   0.061776,   0.734971, 
Z Velocity[A/fs],  -0.000743,  -0.001900,   0.014289,   0.003553,  -0.001406,  -0.067068,  -0.024355,  -0.022857,  
Speed[A/fs],   0.194900,   0.187512,   0.191758,   0.214118,   0.196822,   0.736552,   0.739621,   0.741758,  
 
isoxazole_14r5,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.1988420486,    1.1357972622,    1.3806293011,    1.6316628456,    1.4629089832,    0.9998651828,    0.9995877094,    0.9997999604,  
Time[fs],  82.471000,  92.296000,  72.189000,  69.798000,  68.727000,  31.127000,  31.487000,  31.402000,  
Charge Sum,    9.8090932933, 
X Velocity[A/fs],  -0.178185,  -0.157400,   0.063366,   0.230523,   0.027458,   0.174188,   0.739548,   0.138802,  
Y Velocity[A/fs],   0.064561,  -0.120906,  -0.197715,   0.027077,   0.208640,  -0.719572,   0.032028,   0.709834, 
Z Velocity[A/fs],   0.002440,   0.004736,   0.006561,  -0.003137,  -0.014388,  -0.057327,   0.034750,   0.098479,  
Speed[A/fs],   0.189537,   0.198534,   0.207724,   0.232128,   0.210930,   0.742571,   0.741057,   0.729952,  
 
isoxazole_14r6,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.2425203323,    1.2188546658,    1.3714213371,    1.5525214672,    1.5017259121,    0.9996643860,    0.9993106809,    0.9997276357,  
Time[fs],  80.543000,  93.330000,  71.858000,  72.391000,  66.779000,  31.177000,  31.129000,  31.181000,  
Charge Sum,    9.8857464171, 
X Velocity[A/fs],  -0.181139,  -0.153560,   0.052825,   0.217867,   0.044490,   0.087924,   0.746277,   0.136439,  
Y Velocity[A/fs],   0.085896,  -0.102715,  -0.198911,   0.014505,   0.215431,  -0.731379,  -0.002424,   0.738293, 
Z Velocity[A/fs],  -0.006783,   0.002602,   0.002139,   0.004552,  -0.010072,  -0.040267,  -0.029800,   0.081399,  
Speed[A/fs],   0.200588,   0.184764,   0.205817,   0.218397,   0.220208,   0.737745,   0.746876,   0.755194,  
 
isoxazole_14r7,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.1471228600,    1.0650916100,    1.3922491074,    1.3796384335,    1.7664475441,    0.9998098320,    0.9996947711,    0.9998629475,  
Time[fs],  79.953000,  88.281000,  74.554000,  72.406000,  62.074000,  31.098000,  31.604000,  31.386000,  
Charge Sum,    9.7499171054, 
X Velocity[A/fs],  -0.186264,  -0.165434,   0.065429,   0.215100,   0.054334,   0.127587,   0.736986,   0.118655,  
Y Velocity[A/fs],   0.050893,  -0.116796,  -0.188207,  -0.007079,   0.253888,  -0.726172,   0.023274,   0.732901, 
Z Velocity[A/fs],  -0.001974,   0.004795,   0.004474,  -0.014749,   0.007648,  -0.027639,   0.072246,   0.031452,  
Speed[A/fs],   0.193102,   0.202565,   0.199305,   0.215721,   0.259750,   0.737813,   0.740885,   0.743110,  
 
isoxazole_14r8,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    0.9861502647,    1.2627062798,    1.4119226933,    1.2972064018,    1.6339743137,    0.9997022455,    0.9994779015,    0.9997044492,  
Time[fs],  80.485000,  84.901000,  81.037000,  70.913000,  68.502000,  31.804000,  31.300000,  31.753000,  
Charge Sum,    9.5908445495, 
X Velocity[A/fs],  -0.184890,  -0.173315,   0.070056,   0.219553,   0.054924,   0.164833,   0.751488,   0.129016,  
Y Velocity[A/fs],   0.061586,  -0.140309,  -0.166568,  -0.010525,   0.222199,  -0.703823,   0.040996,   0.727908, 
Z Velocity[A/fs],   0.000961,   0.003016,  -0.001836,   0.001917,  -0.005737,   0.012481,  -0.007386,   0.048007,  
Speed[A/fs],   0.194880,   0.223011,   0.180710,   0.219813,   0.228958,   0.722975,   0.752642,   0.740810,  
 
isoxazole_14r9,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.1667332649,    1.2425007820,    1.3591015339,    1.6377449036,    1.3051400185,    0.9997919788,    0.9997021879,    0.9999242116,  
Time[fs],  86.510000,  87.620000,  76.132000,  70.267000,  73.801000,  31.280000,  31.532000,  31.121000,  
Charge Sum,    9.7106388811, 
X Velocity[A/fs],  -0.167243,  -0.167963,   0.053594,   0.228555,   0.035362,   0.120999,   0.740370,   0.096795,  
Y Velocity[A/fs],   0.081390,  -0.120683,  -0.182906,   0.034231,   0.185321,  -0.729308,   0.025623,   0.721016, 
Z Velocity[A/fs],  -0.001760,   0.004585,  -0.000570,  -0.002855,   0.009392,   0.027320,   0.012652,  -0.077850,  
Speed[A/fs],   0.186005,   0.206875,   0.190597,   0.231122,   0.188898,   0.739782,   0.740921,   0.731637,  
 
