r_seed=1,   C[0],   C[1],   H[2],   H[3],  
Speed[A/fs],   0.193962,   0.188984,   0.830761,   0.846108,  
 
r_seed=39,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  35.446000,  38.800000,   7.842000,   7.787000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.199780,   0.183581,  -0.835283,   0.837331,  
Y Velocity[A/fs],   0.001912,  -0.001418,   0.022182,  -0.028029, 
Z Velocity[A/fs],  -0.004161,   0.011108,  -0.025142,  -0.015237,  
Speed[A/fs],   0.199832,   0.183922,   0.835956,   0.837938,  
 
r_seed=40,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.453000,  37.641000,   7.804000,   7.680000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.193931,   0.188178,  -0.830309,   0.843565,  
Y Velocity[A/fs],   0.009457,  -0.015213,   0.039475,   0.011975, 
Z Velocity[A/fs],  -0.013276,   0.007652,   0.022967,   0.022851,  
Speed[A/fs],   0.194615,   0.188947,   0.831564,   0.843959,  
 
r_seed=41,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.508000,  37.541000,   7.872000,   7.685000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.193683,   0.188817,  -0.831668,   0.843872,  
Y Velocity[A/fs],   0.004028,   0.010163,   0.039837,  -0.022930, 
Z Velocity[A/fs],   0.001860,   0.004004,  -0.021610,  -0.009093,  
Speed[A/fs],   0.193734,   0.189133,   0.832902,   0.844232,  
 
r_seed=42,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  35.755000,  38.421000,   7.796000,   7.772000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.197707,   0.184703,  -0.833494,   0.840985,  
Y Velocity[A/fs],   0.011965,  -0.001859,  -0.041924,  -0.000818, 
Z Velocity[A/fs],  -0.005874,   0.007720,   0.001910,  -0.037173,  
Speed[A/fs],   0.198156,   0.184874,   0.834550,   0.841807,  
 
r_seed=43,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  37.008000,  37.134000,   7.892000,   7.679000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.191249,   0.190757,  -0.829267,   0.845800,  
Y Velocity[A/fs],  -0.010348,  -0.000184,  -0.030930,   0.018387, 
