C2H2_14r176,   C[0],   C[1],   H[2],   H[3],  
C2H2_14r113,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.6662759781,    2.6681578159,    0.9991883996,    0.9999402800,  
Time[fs],  80.000000,  80.000000,  80.000000,  80.000000,  
Charge Sum,    6.3335624737, 
X Velocity[A/fs],  -0.212463,   0.210821,  -0.737589,   0.707218,  
Y Velocity[A/fs],  -0.002918,   0.004603,   0.081640,  -0.073931, 
Z Velocity[A/fs],   0.007577,  -0.006097,  -0.080204,   0.096909,  
Speed[A/fs],   0.212618,   0.210960,   0.746415,   0.717645,  
 
C2H2_14r91,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.7628102303,    2.5847761631,    0.9992860032,    0.9999374466,  
Time[fs],  80.000000,  80.000000,  80.000000,  80.000000,  
Charge Sum,    6.3468098431, 
X Velocity[A/fs],  -0.206483,   0.202634,  -0.741542,   0.721378,  
Y Velocity[A/fs],   0.002293,   0.005699,  -0.049597,  -0.049713, 
Z Velocity[A/fs],  -0.003828,  -0.003286,   0.074674,  -0.055433,  
Speed[A/fs],   0.206531,   0.202741,   0.746941,   0.725210,  
 
C2H2_14r185,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.9177629948,    2.4273729324,    0.9991578980,    0.9999094823,  
Time[fs],  80.000000,  80.000000,  80.000000,  80.000000,  
Charge Sum,    6.3442033075, 
X Velocity[A/fs],  -0.200439,   0.186199,  -0.748578,   0.718492,  
Y Velocity[A/fs],  -0.000104,  -0.000304,   0.051922,  -0.047107, 
Z Velocity[A/fs],   0.008571,  -0.005657,  -0.081322,   0.056022,  
Speed[A/fs],   0.200622,   0.186285,   0.754771,   0.722211,  
 
C2H2_14r90,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0843608379,    2.2389894724,    0.9992710701,    0.9999661021,  
Time[fs],  80.000000,  80.000000,  80.000000,  80.000000,  
Charge Sum,    6.3225874826, 
X Velocity[A/fs],  -0.186896,   0.176939,  -0.742663,   0.707798,  
Y Velocity[A/fs],  -0.001574,  -0.006332,   0.029700,   0.061960, 
Z Velocity[A/fs],   0.008399,   0.004595,  -0.054140,  -0.037884,  
Speed[A/fs],   0.187091,   0.177112,   0.745226,   0.711514,  
 
C2H2_14r177,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0281186104,    2.3201279640,    0.9991378851,    0.9999118432,  
Time[fs],  80.000000,  80.000000,  80.000000,  80.000000,  
Charge Sum,    6.3472963027, 
X Velocity[A/fs],  -0.190274,   0.184776,  -0.742838,   0.712294,  
Y Velocity[A/fs],  -0.000108,  -0.000974,  -0.059963,   0.062840, 
Z Velocity[A/fs],   0.006555,  -0.004001,  -0.077840,   0.089723,  
Speed[A/fs],   0.190387,   0.184822,   0.749308,   0.720668,  
 
C2H2_14r191,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.9125826359,    2.3900002241,    0.9994268088,    0.9999530677,  
Time[fs],  80.000000,  80.000000,  80.000000,  80.000000,  
Charge Sum,    6.3019627365, 
X Velocity[A/fs],  -0.189809,   0.192580,  -0.735895,   0.710463,  
Y Velocity[A/fs],  -0.005663,   0.006384,   0.074465,  -0.083985, 
Z Velocity[A/fs],   0.004180,  -0.015322,   0.010846,   0.084298,  
Speed[A/fs],   0.189940,   0.193294,   0.739733,   0.720359,  
 
C2H2_14r128,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.2605773211,    1.9764177799,    0.9994703056,    0.9999189302,  
Time[fs],  80.000000,  80.000000,  80.000000,  80.000000,  
Charge Sum,    6.2363843368, 
X Velocity[A/fs],  -0.165349,   0.161264,  -0.734586,   0.709864,  
Y Velocity[A/fs],   0.003740,  -0.004699,  -0.021479,   0.048129, 
Z Velocity[A/fs],  -0.004538,   0.004064,   0.049872,  -0.050881,  
Speed[A/fs],   0.165454,   0.161384,   0.736590,   0.713311,  
 
C2H2_14r63,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0850602388,    2.3305038214,    0.9992979288,    0.9999681238,  
