C2H2_14r176,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.8441507816,    1.5348222256,    0.9992582598,    0.9999293715,  
Time[fs],  60.772000,  61.815000,  26.739000,  26.781000,  
Charge Sum,    6.3781606385, 
X Velocity[A/fs],  -0.170096,   0.165678,  -0.697593,   0.662958,  
Y Velocity[A/fs],  -0.000351,  -0.000163,   0.029823,  -0.021345, 
Z Velocity[A/fs],  -0.011578,   0.018464,   0.101204,  -0.102970,  
Speed[A/fs],   0.170490,   0.166704,   0.705527,   0.671246,  
 
C2H2_14r39,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.2258858681,    2.1108460426,    0.9989569399,    0.9999016989,  
Time[fs],  60.451000,  61.250000,  26.946000,  26.900000,  
Charge Sum,    6.3355905495, 
X Velocity[A/fs],  -0.174105,   0.170054,  -0.698957,   0.666512,  
Y Velocity[A/fs],   0.000039,   0.004690,  -0.032327,  -0.035518, 
Z Velocity[A/fs],   0.010059,  -0.008521,  -0.091716,   0.082910,  
Speed[A/fs],   0.174395,   0.170332,   0.705690,   0.672588,  
 
C2H2_14r5,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.7870697975,    2.5397887230,    0.9992757309,    0.9999492769,  
Time[fs],  62.220000,  61.102000,  26.843000,  26.726000,  
Charge Sum,    6.3260835283, 
X Velocity[A/fs],  -0.167583,   0.169651,  -0.692683,   0.675835,  
Y Velocity[A/fs],  -0.001263,   0.000296,   0.046281,  -0.059330, 
Z Velocity[A/fs],  -0.001131,   0.002383,   0.051036,  -0.061262,  
Speed[A/fs],   0.167592,   0.169668,   0.696100,   0.681195,  
 
C2H2_14r170,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0769691467,    2.2448312044,    0.9993175422,    0.9999380495,  
Time[fs],  61.039000,  61.358000,  26.869000,  26.867000,  
Charge Sum,    6.3210559428, 
X Velocity[A/fs],  -0.172065,   0.169292,  -0.685616,   0.665401,  
Y Velocity[A/fs],  -0.013179,   0.010371,   0.087939,  -0.092547, 
Z Velocity[A/fs],  -0.011239,   0.001946,   0.057425,   0.024911,  
Speed[A/fs],   0.172935,   0.169621,   0.693614,   0.672268,  
 
C2H2_14r171,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.1526670456,    2.1581947803,    0.9990426633,    0.9999135349,  
Time[fs],  60.675000,  61.977000,  26.862000,  26.894000,  
Charge Sum,    6.3098180241, 
X Velocity[A/fs],  -0.173465,   0.167412,  -0.695518,   0.672133,  
Y Velocity[A/fs],  -0.005773,  -0.001959,   0.037295,   0.027492, 
Z Velocity[A/fs],   0.006181,  -0.001127,  -0.078170,   0.062998,  
Speed[A/fs],   0.173671,   0.167427,   0.700889,   0.675638,  
 
C2H2_14r158,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.7859830856,    2.5215241909,    0.9995129727,    0.9999493232,  
Time[fs],  59.109000,  64.593000,  26.715000,  26.886000,  
Charge Sum,    6.3069695725, 
X Velocity[A/fs],  -0.178739,   0.157800,  -0.695371,   0.668481,  
Y Velocity[A/fs],   0.007875,   0.002226,  -0.061146,  -0.018247, 
Z Velocity[A/fs],   0.006745,   0.000935,  -0.059542,  -0.023789,  
Speed[A/fs],   0.179040,   0.157818,   0.700589,   0.669153,  
 
C2H2_14r69,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0899202824,    2.2523965836,    0.9990546794,    0.9999094845,  
Time[fs],  59.986000,  61.883000,  26.861000,  26.851000,  
Charge Sum,    6.3412810298, 
X Velocity[A/fs],  -0.175714,   0.167541,  -0.703144,   0.673885,  
Y Velocity[A/fs],   0.003902,   0.003745,  -0.043887,  -0.027544, 
Z Velocity[A/fs],  -0.004463,   0.007388,   0.064369,  -0.054370,  
Speed[A/fs],   0.175814,   0.167746,   0.707447,   0.676635,  
 
C2H2_14r131,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.6594810486,    2.7103420496,    0.9991045479,    0.9999516333,  
Time[fs],  60.823000,  61.867000,  26.776000,  26.677000,  
Charge Sum,    6.3688792794, 
X Velocity[A/fs],  -0.171834,   0.166409,  -0.701932,   0.671211,  
Y Velocity[A/fs],  -0.001835,  -0.001297,  -0.018236,   0.053890, 
Z Velocity[A/fs],   0.003413,  -0.003336,  -0.052591,   0.051905,  
Speed[A/fs],   0.171878,   0.166448,   0.704136,   0.675369,  
 
C2H2_14r113,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.6662759781,    2.6681578159,    0.9991883996,    0.9999402800,  
Time[fs],  61.279000,  61.709000,  26.885000,  26.787000,  
Charge Sum,    6.3335624737, 
X Velocity[A/fs],  -0.170301,   0.167090,  -0.691236,   0.662480,  
Y Velocity[A/fs],  -0.003165,   0.005131,   0.075818,  -0.068680, 
Z Velocity[A/fs],   0.007373,  -0.006387,  -0.074142,   0.090232,  
Speed[A/fs],   0.170490,   0.167291,   0.699323,   0.672115,  
 
C2H2_14r91,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.7628102303,    2.5847761631,    0.9992860032,    0.9999374466,  
Time[fs],  60.992000,  61.892000,  26.830000,  26.749000,  
Charge Sum,    6.3468098431, 
X Velocity[A/fs],  -0.171588,   0.166504,  -0.694797,   0.675854,  
Y Velocity[A/fs],   0.002889,   0.005996,  -0.046278,  -0.046543, 
Z Velocity[A/fs],  -0.004357,  -0.002786,   0.069224,  -0.051815,  
Speed[A/fs],   0.171668,   0.166635,   0.699769,   0.679433,  
 
C2H2_14r185,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.9177629948,    2.4273729324,    0.9991578980,    0.9999094823,  
Time[fs],  59.391000,  62.899000,  26.730000,  26.864000,  
Charge Sum,    6.3442033075, 
X Velocity[A/fs],  -0.177251,   0.163021,  -0.701908,   0.674592,  
Y Velocity[A/fs],  -0.000509,   0.000169,   0.048357,  -0.044031, 
Z Velocity[A/fs],   0.008328,  -0.005388,  -0.075559,   0.052249,  
Speed[A/fs],   0.177447,   0.163110,   0.707617,   0.678044,  
 
C2H2_14r90,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0843608379,    2.2389894724,    0.9992710701,    0.9999661021,  
Time[fs],  59.973000,  62.298000,  26.741000,  26.808000,  
Charge Sum,    6.3225874826, 
X Velocity[A/fs],  -0.176040,   0.166452,  -0.696236,   0.661194,  
Y Velocity[A/fs],  -0.001978,  -0.006801,   0.027883,   0.057705, 
Z Velocity[A/fs],   0.008784,   0.005103,  -0.050360,  -0.035255,  
Speed[A/fs],   0.176270,   0.166669,   0.698612,   0.664643,  
 
C2H2_14r177,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0281186104,    2.3201279640,    0.9991378851,    0.9999118432,  
Time[fs],  60.264000,  61.416000,  26.876000,  26.905000,  
Charge Sum,    6.3472963027, 
X Velocity[A/fs],  -0.174885,   0.169138,  -0.698902,   0.668367,  
Y Velocity[A/fs],   0.000240,  -0.001429,  -0.056052,   0.058659, 
Z Velocity[A/fs],   0.006706,  -0.004340,  -0.072490,   0.083815,  
Speed[A/fs],   0.175013,   0.169200,   0.704883,   0.676151,  
 
C2H2_14r191,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.9125826359,    2.3900002241,    0.9994268088,    0.9999530677,  
Time[fs],  62.039000,  61.085000,  26.789000,  26.839000,  
Charge Sum,    6.3019627365, 
X Velocity[A/fs],  -0.168259,   0.169848,  -0.689307,   0.665584,  
Y Velocity[A/fs],  -0.005534,   0.006496,   0.069150,  -0.078221, 
Z Velocity[A/fs],   0.003095,  -0.015206,   0.010334,   0.078503,  
Speed[A/fs],   0.168378,   0.170651,   0.692844,   0.674747,  
 
C2H2_14r128,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.2605773211,    1.9764177799,    0.9994703056,    0.9999189302,  
Time[fs],  61.797000,  62.487000,  26.793000,  26.877000,  
Charge Sum,    6.2363843368, 
X Velocity[A/fs],  -0.169199,   0.165672,  -0.689460,   0.662555,  
Y Velocity[A/fs],   0.003845,  -0.005021,  -0.019911,   0.044669, 
Z Velocity[A/fs],  -0.004885,   0.004365,   0.046533,  -0.047245,  
Speed[A/fs],   0.169313,   0.165806,   0.691315,   0.665738,  
 
C2H2_14r63,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0850602388,    2.3305038214,    0.9992979288,    0.9999681238,  
Time[fs],  58.713000,  60.552000,  26.753000,  26.628000,  
Charge Sum,    6.4148301128, 
X Velocity[A/fs],  -0.180026,   0.171609,  -0.706830,   0.668895,  
Y Velocity[A/fs],  -0.006059,   0.005848,   0.080564,  -0.076946, 
Z Velocity[A/fs],  -0.001679,   0.004018,   0.053401,  -0.050662,  
Speed[A/fs],   0.180136,   0.171756,   0.713408,   0.675210,  
 
C2H2_14r38,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.2858792543,    2.0902127028,    0.9991245461,    0.9999452375,  
Time[fs],  61.109000,  59.799000,  26.757000,  26.645000,  
Charge Sum,    6.3751617407, 
X Velocity[A/fs],  -0.171110,   0.174737,  -0.702407,   0.673695,  
Y Velocity[A/fs],   0.002686,  -0.002730,  -0.014669,   0.039867, 
Z Velocity[A/fs],  -0.000631,   0.010424,   0.001047,  -0.076246,  
Speed[A/fs],   0.171132,   0.175069,   0.702561,   0.679167,  
 
C2H2_14r33,   C[0],   C[1],   H[2],   H[3],  
