r_seed=1,   C[0],   C[1],   H[2],   H[3],  
Time[fs],  35.885000,  38.243000,   7.785000,   7.716000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.197109,   0.185679,  -0.831503,   0.840917,  
Y Velocity[A/fs],  -0.013894,   0.008413,  -0.002390,   0.041047, 
Z Velocity[A/fs],  -0.008759,   0.009319,  -0.014019,   0.018419,  
Speed[A/fs],   0.197792,   0.186103,   0.831625,   0.842119,  
 
r_seed=35,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.017000,  38.229000,   7.852000,   7.799000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.196505,   0.185743,  -0.832176,   0.844434,  
Y Velocity[A/fs],  -0.005354,   0.005056,  -0.007753,  -0.028898, 
Z Velocity[A/fs],   0.006265,   0.000668,   0.014532,   0.016946,  
Speed[A/fs],   0.196678,   0.185813,   0.832339,   0.845098,  
 
r_seed=36,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.232000,  37.794000,   7.793000,   7.701000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.194679,   0.187102,  -0.832017,   0.844989,  
Y Velocity[A/fs],  -0.001431,  -0.007884,   0.002960,   0.032838, 
Z Velocity[A/fs],  -0.001472,   0.008261,  -0.018838,  -0.034226,  
Speed[A/fs],   0.194690,   0.187450,   0.832236,   0.846319,  
 
r_seed=37,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.245000,  37.943000,   7.876000,   7.679000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.195196,   0.187209,  -0.831093,   0.841627,  
Y Velocity[A/fs],  -0.006369,   0.008269,   0.016793,  -0.026573, 
Z Velocity[A/fs],  -0.013978,   0.015691,  -0.001092,   0.022247,  
Speed[A/fs],   0.195799,   0.188047,   0.831263,   0.842341,  
 
r_seed=38,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.506000,  37.492000,   7.766000,   7.739000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.193991,   0.188922,  -0.827856,   0.847193,  
Y Velocity[A/fs],  -0.001976,   0.003294,   0.010634,   0.017512, 
Z Velocity[A/fs],   0.000659,   0.004168,   0.050414,  -0.000341,  
Speed[A/fs],   0.194002,   0.188997,   0.829458,   0.847375,  
 
r_seed=39,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  35.445000,  38.801000,   7.841000,   7.788000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.199735,   0.183571,  -0.833435,   0.838867,  
Y Velocity[A/fs],   0.001959,  -0.001426,   0.023984,  -0.026535, 
Z Velocity[A/fs],  -0.004114,   0.011100,  -0.023338,  -0.013743,  
Speed[A/fs],   0.199787,   0.183912,   0.834106,   0.839399,  
 
r_seed=40,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.453000,  37.642000,   7.803000,   7.681000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.193974,   0.188191,  -0.828685,   0.844458,  
