C4H10_14r45,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Speed[A/fs],   0.248330,   0.260374,   0.250035,   0.228544,   0.909386,   0.923589,   0.870904,   0.911796,   0.929558,   0.929730,   0.867330,   0.875243,   0.896052,   0.873294,  
 
C4H10_14r14,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    1.8526623249,    1.8330490589,    1.6135458946,    2.0481109619,    0.9982526716,    0.9976792999,    0.9894439746,    0.9996295271,    0.9981524394,    0.9983633107,    0.9990112716,    0.9988747005,    0.9998009050,    0.9999351163,  
Time[fs],  69.013000,  70.743000,  74.543000,  66.600000,  29.220000,  29.761000,  26.981000,  28.140000,  29.582000,  28.908000,  27.981000,  28.189000,  30.410000,  27.308000,  
Charge Sum,   17.3265114571, 
X Velocity[A/fs],  -0.170190,  -0.113656,   0.100389,   0.178441,  -0.293829,  -0.433743,  -0.835619,  -0.053394,  -0.573885,   0.494663,   0.004767,   0.070701,   0.548571,   0.821737,  
Y Velocity[A/fs],  -0.149507,   0.159921,   0.146617,  -0.155511,  -0.714456,  -0.258071,   0.034049,   0.295827,   0.705567,   0.733379,   0.236625,  -0.856725,  -0.181562,  -0.065931, 
Z Velocity[A/fs],   0.031376,  -0.143320,   0.136714,  -0.022234,  -0.452169,   0.761191,  -0.204265,  -0.853202,   0.216372,  -0.105410,   0.846715,   0.235362,  -0.687674,   0.272872,  
Speed[A/fs],   0.228695,   0.242967,   0.224199,   0.237738,   0.895120,   0.913316,   0.860897,   0.904609,   0.934872,   0.890869,   0.879170,   0.891275,   0.898215,   0.868365,  
 
C4H10_14r40,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    1.8700089455,    1.6710104942,    1.8428542614,    1.9336905479,    0.9993388131,    0.9976207884,    0.9738504812,    0.9994297508,    0.9998627493,    0.9997863627,    0.9988478150,    0.9953883598,    0.9963045826,    0.9998423309,  
Time[fs],  64.409000,  74.745000,  66.872000,  70.359000,  28.758000,  29.998000,  26.640000,  28.180000,  28.648000,  29.468000,  28.050000,  28.093000,  30.661000,  26.931000,  
Charge Sum,   17.2778362829, 
